Store;store8;1.957168368999954E7
Product;Quantity;Price;Profit
p10;3962;901842.0499999939;586455.24
p12;3273;362557.46999999986;216738.06
p11;3679;1207195.2600000051;792824.5
p14;3364;807382.4400000087;421441.92
p13;3529;415728.6699999989;179661.39
p16;3463;1186042.8699999922;700114.71
p15;3398;1384203.1500000006;750788.1
p18;3712;1769661.389999982;983308.8
p17;3345;632492.6600000014;151060.2
p19;3227;708436.7800000027;382173.61
p21;3469;1587983.9900000123;946204.44
p20;3332;765354.390000002;428128.68
p23;3422;928171.8899999995;575272.42
p22;3304;1086540.0799999968;544433.12
p25;3578;601325.0199999996;228813.1
p24;3581;1185368.3300000064;518492.99
p27;3471;651487.3599999993;432243.63
p26;3275;242911.1700000003;158117.0
p29;3597;856700.650000001;462861.96
p28;3166;482874.8700000004;236246.92
p0;3602;1177903.7200000049;453203.64
p1;3588;627022.9600000039;263789.76
p2;3309;1371040.040000004;670039.41
p3;3556;957721.6100000012;583646.28
p4;3335;80731.4800000003;49891.6
p5;3493;401155.54999999906;259145.67
p6;3433;629066.7299999977;394280.05
p7;3657;984521.2099999954;483528.54
p8;3449;1651523.6800000055;546218.13
p9;3273;291456.3299999997;153078.21
p30;3439;686665.1300000008;405973.95
p32;3205;122804.96000000037;74035.5
p31;3336;743750.0600000009;284193.84
p34;3268;1453778.4399999997;493206.56
p33;3567;145844.420000001;50544.39
p36;3342;829414.5400000005;363776.7
p35;3464;1629965.9300000023;430852.32
p38;3609;1082558.2099999993;521139.6
p37;3264;592202.0199999969;210299.52
p39;3239;530720.9799999985;187019.86
p41;3644;102776.16999999985;28131.68
p40;3385;39111.97000000015;10256.55
p43;3521;711211.4899999957;281891.26
p42;3914;889312.9699999997;349324.5
p45;3246;663936.8399999983;432983.94
p44;3647;577830.6800000027;313787.88
p47;3512;1089192.2100000016;263751.2
p46;3609;421536.06999999937;235595.52
p49;3557;464662.8800000026;305226.17
p48;3421;1185197.8499999966;777490.67
