Store;store5;1.5821924079999464E7
Product;Quantity;Price;Profit
p10;2740;623686.7499999963;405574.8
p12;2638;292217.0700000001;174688.36
p11;3000;984393.9900000079;646500.0
p14;2829;678978.7800000047;354417.12
p13;2749;323841.92999999935;139951.59
p16;2784;953492.1599999974;562841.28
p15;2956;1204150.8699999996;653128.2
p18;2749;1310560.1199999908;728210.1
p17;3006;568392.4600000017;135750.96
p19;2692;590986.0900000014;318813.56
p21;3048;1395265.370000008;831372.48
p20;2761;634196.9100000018;354760.89
p23;2647;717963.3799999997;444987.17
p22;2543;836280.8599999981;419035.54
p25;2606;437968.88999999856;166653.7
p24;2681;887453.9100000028;388181.99
p27;2844;533802.9;354163.32
p26;2741;203303.73999999973;132335.48
p29;2726;649253.8600000012;350781.68
p28;2820;430103.1799999997;210428.4
p0;2668;872472.8699999996;335687.76
p1;2746;479878.82000000187;201885.92
p2;2945;1220221.450000002;596333.05
p3;2749;740376.1500000001;451193.37
p4;2814;68119.39000000029;42097.44
p5;2985;342813.97;221457.15
p6;2806;514174.5799999995;322269.1
p7;2753;741150.3799999976;364001.66
p8;2830;1355120.9700000035;448187.1
p9;3047;271331.4000000002;142508.19
p30;2692;537511.6400000001;317790.6
p32;2973;113915.5500000002;68676.3
p31;2845;634283.1200000007;242365.55
p34;2787;1239804.3400000005;420614.04
p33;2693;110109.10000000073;38159.81
p36;2940;729646.4999999985;320019.0
p35;2896;1362696.7100000025;360204.48
p38;2865;859387.4000000004;413706.0
p37;2897;525615.5499999956;186653.71
p39;2844;465998.84999999846;164212.56
p41;2744;77392.3899999999;21183.68
p40;2786;32190.59000000012;8441.58
p43;2906;586986.8399999975;232654.36
p42;2920;663462.9300000004;260610.0
p45;2711;554507.9400000003;361620.29
p44;2710;429372.4000000028;233168.4
p47;2944;913035.8900000007;221094.4
p46;2743;320386.0599999995;179063.04
p49;2880;376223.9400000013;247132.8
p48;2756;954810.0599999981;626356.12
