Store;store1;1.701120759999908E7
Product;Quantity;Price;Profit
p10;3042;692428.7999999955;450276.84
p12;3195;353917.2200000002;211572.9
p11;2895;949940.2200000075;623872.5
p14;2962;710899.7600000061;371079.36
p13;2971;349994.27999999875;151253.61
p16;3170;1085693.2999999968;640878.9
p15;3023;1231444.020000001;667931.85
p18;3376;1609476.4999999865;894302.4
p17;2792;527928.120000001;126086.72
p19;3140;689337.5400000025;371870.2
p21;2848;1303712.4600000053;776820.48
p20;3031;696215.4100000012;389453.19
p23;3092;838663.8300000003;519796.12
p22;3101;1019782.5299999976;510982.78
p25;2877;483513.6999999984;183984.15
p24;3044;1007612.8000000035;440740.76
p27;3251;610194.6599999999;404847.03
p26;3010;223255.75999999998;145322.8
p29;3020;719276.1400000012;388613.6
p28;2925;446117.74000000034;218263.5
p0;2830;925449.11;356070.6
p1;2954;516228.0000000023;217178.08
p2;3001;1243424.3100000015;607672.49
p3;3003;808784.670000001;492882.39
p4;3120;75526.83000000028;46675.2
p5;3098;355791.4800000002;229840.62
p6;3307;605978.2499999972;379808.95
p7;2763;743842.5999999975;365323.86
p8;2868;1373316.9800000018;454205.16
p9;2740;243993.38000000012;128149.8
p30;2949;588826.8300000004;348129.45
p32;2910;111501.47000000012;67221.0
p31;3128;697377.1900000001;266474.32
p34;3072;1366587.4100000008;463626.24
p33;3159;129162.31000000087;44763.03
p36;3131;777048.8200000004;340809.35
p35;3227;1518447.0200000037;401374.26
p38;2814;844089.4200000006;406341.6
p37;3141;569885.5099999966;202374.63
p39;3117;510730.78999999794;179975.58
p41;3061;86333.21999999997;23630.92
p40;2892;33415.54000000012;8762.76
p43;3092;624557.0799999961;247545.52
p42;2833;643695.3200000008;252845.25
p45;3070;627937.7999999988;409507.3
p44;2904;460109.76000000344;249860.16
p47;3070;952112.8000000016;230557.0
p46;3081;359864.99999999953;201127.68
p49;2864;374133.85000000126;245759.84
p48;2881;998116.209999998;654764.87
