Store;store4;1.8451044779999375E7
Product;Quantity;Price;Profit
p10;3357;764130.0199999949;496903.14
p12;2977;329768.94999999984;197136.94
p11;3306;1084802.300000008;712443.0
p14;3430;823222.8000000085;429710.4
p13;3196;376500.10999999935;162708.36
p16;3440;1178165.5999999929;695464.8
p15;3194;1301102.050000001;705714.3
p18;3371;1607092.8399999852;892977.9
p17;3346;632681.7200000025;151105.36
p19;3281;720291.8300000025;388568.83
p21;3280;1501466.6900000104;894652.8
p20;3290;755707.1800000013;422732.1
p23;3227;875280.7500000006;542490.97
p22;3196;1051023.609999997;526636.88
p25;3243;545024.3299999986;207389.85
p24;3154;1044024.3300000039;456667.66
p27;3341;627087.2300000003;416054.73
p26;3530;261824.72000000032;170428.4
p29;3120;743093.1700000019;401481.6
p28;3323;506820.3000000009;247962.26
p0;3340;1092226.070000002;420238.8
p1;3380;590673.760000003;248497.6
p2;3310;1371454.510000007;670241.9
p3;3182;856993.8800000015;522261.66
p4;3269;79133.74000000044;48904.24
p5;3417;392427.22999999934;253507.23
p6;3118;571345.8199999988;358102.3
p7;3210;864182.0499999975;424426.2
p8;3145;1505955.9700000016;498073.65
p9;3493;311046.92;163367.61
p30;3329;664701.430000001;392988.45
p32;3220;123379.61000000041;74382.0
p31;3241;722570.0400000011;276100.79
p34;3289;1463120.4400000004;496375.88
p33;3529;144290.47000000108;50005.93
p36;3285;815268.4800000004;357572.25
p35;3413;1605968.2600000026;424508.94
p38;3171;951175.2700000001;457892.4
p37;3016;547206.1499999958;194320.88
p39;3267;535308.8199999986;188636.58
p41;3025;85317.7299999999;23353.0
p40;3313;38279.86000000013;10038.39
p43;3331;672833.1999999958;266679.86
p42;3260;740715.3699999996;290955.0
p45;3299;674777.4599999991;440053.61
p44;3240;513345.60000000405;278769.6
p47;3146;975683.0000000021;236264.6
p46;3309;386495.68999999925;216011.52
p49;3223;421031.24000000156;276565.63
p48;3400;1177922.4499999972;772718.0
