Store;store7;1.718360001999925E7
Product;Quantity;Price;Profit
p10;3030;689697.3899999956;448500.6
p12;3164;350483.3199999999;209520.08
p11;3178;1042801.3900000091;684859.0
p14;2955;709219.600000006;370202.4
p13;3198;376735.8899999991;162810.18
p16;3006;1029524.9399999956;607723.02
p15;2935;1195596.3399999994;648488.25
p18;3049;1453582.2499999881;807680.1
p17;3157;596944.4900000014;142570.12
p19;3148;691093.6300000015;372817.64
p21;3123;1429597.6400000048;851829.48
p20;3001;689324.4500000018;385598.49
p23;3009;816151.199999999;505842.99
p22;2970;976702.379999998;489396.6
p25;3083;518134.4099999983;197157.85
p24;3002;993710.000000004;434659.58
p27;3210;602499.1499999998;399741.3
p26;3231;239647.63000000035;155992.68
p29;2951;702842.2600000006;379734.68
p28;2903;442762.35000000044;216621.86
p0;3239;1059197.669999999;407530.98
p1;3105;542616.0100000023;228279.6
p2;3018;1250468.0300000017;611114.82
p3;2946;793433.1500000021;483526.98
p4;3064;74171.4300000003;45837.44
p5;2990;343388.26000000024;221828.1
p6;3324;609093.4599999981;381761.4
p7;3017;812223.1899999983;398907.74
p8;2935;1405399.2600000014;464815.95
p9;3088;274982.21000000014;144425.76
p30;3255;649925.8500000008;384252.75
p32;3159;121042.33000000045;72972.9
p31;3059;681993.8800000013;260596.21
p34;2977;1324326.3200000024;449288.84
p33;2951;120657.8300000009;41815.67
p36;2897;718974.9299999998;315338.45
p35;3223;1516564.7000000027;400876.74
p38;3076;922679.0400000002;444174.4
p37;3135;568797.0099999966;201988.05
p39;2883;472389.14999999804;166464.42
p41;3068;86530.48999999996;23684.96
p40;3180;36743.050000000134;9635.4
p43;3053;616679.5599999971;244423.18
p42;2869;651875.120000001;256058.25
p45;3090;632028.599999999;412175.1
p44;2888;457574.7200000032;248483.52
p47;3131;971031.0200000007;235138.1
p46;3100;362084.15999999933;202368.0
p49;3083;402742.55000000173;264552.23
p48;3034;1051122.529999998;689537.18
