Store;store1;1.8903206249999348E7
Product;Quantity;Price;Profit
p10;3483;792810.4799999947;515553.66
p12;3347;370754.68999999994;221638.34
p11;3003;985378.3400000081;647146.5
p14;3262;782901.8600000081;408663.36
p13;3584;422207.9999999991;182461.44
p16;3376;1156246.239999993;682525.92
p15;3431;1397646.1300000018;758079.45
p18;3376;1609476.599999986;894302.4
p17;3429;648375.8200000009;154853.64
p19;3215;705802.5100000015;380752.45
p21;3268;1495973.59000001;891379.68
p20;3262;749275.6500000011;419134.38
p23;3283;890469.9799999988;551905.13
p22;3452;1135210.9199999962;568820.56
p25;3661;615274.1000000004;234120.95
p24;3402;1126116.6100000034;492575.58
p27;3146;590486.7099999998;391771.38
p26;3189;236532.34000000008;153964.92
p29;3470;826453.0200000019;446519.6
p28;3425;522377.11000000045;255573.5
p0;3213;1050695.3600000008;404259.66
p1;3482;608498.8100000044;255996.64
p2;3453;1430704.4200000023;699197.97
p3;3147;847567.6600000019;516517.11
p4;3421;82813.34000000036;51178.16
p5;3475;399088.2799999994;257810.25
p6;3329;610009.7099999981;382335.65
p7;3322;894334.0699999974;439234.84
p8;3504;1677860.1100000027;554928.48
p9;3538;315054.28000000014;165472.26
p30;3389;676681.6300000014;400071.45
p32;3479;133303.67000000045;80364.9
p31;3326;741520.6800000007;283341.94
p34;3195;1421304.2699999996;482189.4
p33;3317;135622.46000000092;47001.89
p36;3321;824202.8399999992;361490.85
p35;3665;1724545.3800000022;455852.7
p38;3639;1091556.8699999994;525471.6
p37;3628;658244.0999999987;233752.04
p39;3380;553824.2399999985;195161.2
p41;3386;95499.59000000003;26139.92
p40;3367;38903.710000000174;10202.01
p43;3256;657683.7299999959;260675.36
p42;3403;773207.070000001;303717.75
p45;3214;657391.5599999978;428715.46
p44;3494;553589.3600000036;300623.76
p47;3374;1046393.6700000024;253387.4
p46;3227;376918.00999999937;210658.56
p49;3192;416981.4800000016;273905.52
p48;3484;1207024.2099999974;791808.68
