Store;store6;1.843529876999953E7
Product;Quantity;Price;Profit
p10;3241;737725.7299999951;479732.82
p12;3254;360452.9599999997;215479.88
p11;3564;1169460.2100000079;768042.0
p14;3445;826822.7900000085;431589.6
p13;3161;372376.9899999994;160926.51
p16;3058;1047334.4199999977;618235.86
p15;3253;1325136.4100000013;718750.35
p18;3389;1615674.2099999853;897746.1
p17;3305;624929.1100000012;149253.8
p19;3350;735439.6600000012;396740.5
p21;3200;1464845.460000009;872832.0
p20;3342;767651.5600000012;429413.58
p23;3145;853039.2799999993;528705.95
p22;3428;1127318.3899999976;564865.84
p25;3199;537629.6399999988;204576.05
p24;3420;1132074.7300000049;495181.8
p27;3233;606816.08;402605.49
p26;3407;252701.69000000024;164489.96
p29;3237;770959.3300000018;416537.16
p28;3237;493703.70000000036;241544.94
p0;3010;984311.5499999995;378718.2
p1;3349;585256.3700000037;246218.48
p2;3345;1385956.1300000015;677329.05
p3;3190;859148.5200000008;523574.7
p4;3089;74776.5000000003;46211.44
p5;3226;370491.77999999956;239336.94
p6;3318;607993.8999999985;381072.3
p7;3283;883834.6999999969;434078.26
p8;3068;1469085.1600000022;485879.16
p9;3410;303656.03000000014;159485.7
p30;3348;668495.1600000005;395231.4
p32;3293;126176.80000000026;76068.3
p31;3550;791460.7100000003;302424.5
p34;3079;1369701.3400000008;464682.68
p33;3262;133373.770000001;46222.54
p36;3442;854232.4699999995;374661.7
p35;3343;1573030.0500000021;415802.34
p38;3154;946075.93;455437.6
p37;3354;608531.1699999971;216098.22
p39;3328;545304.0299999984;192158.72
p41;3377;95245.75999999998;26070.44
p40;3134;36211.74000000014;9496.02
p43;3291;664753.4499999959;263477.46
p42;3216;730717.9800000006;287028.0
p45;3034;620574.3599999984;404705.26
p44;3309;524277.960000004;284706.36
p47;3133;971651.0500000017;235288.3
p46;3227;376917.9699999993;210658.56
p49;3311;432526.9200000016;284116.91
p48;3352;1161292.8799999983;761809.04
