Store;store10;1.9510926449999496E7
Product;Quantity;Price;Profit
p10;3516;800322.0499999946;520438.32
p12;3330;368871.5499999997;220512.6
p11;3290;1079551.990000008;708995.0
p14;3618;868344.1000000094;453263.04
p13;3289;387455.8899999986;167442.99
p16;3527;1207962.2299999916;713053.59
p15;3443;1402534.359999999;760730.85
p18;3609;1720556.9999999825;956024.1
p17;3210;606966.0500000007;144963.6
p19;3385;743123.3500000018;400885.55
p21;3611;1652986.5900000108;984936.36
p20;3571;820252.4299999997;458837.79
p23;3482;944446.1100000002;585359.02
p22;3708;1219398.0499999975;611004.24
p25;3322;558301.2199999989;212441.9
p24;3353;1109896.5900000054;485480.87
p27;3472;651675.0899999995;432368.16
p26;3294;244320.35000000044;159034.32
p29;3281;781438.6000000017;422199.08
p28;3332;508193.0600000003;248633.84
p0;3472;1135391.9000000025;436847.04
p1;3491;610071.7100000046;256658.32
p2;3578;1482496.610000004;724509.22
p3;3446;928095.7800000005;565591.98
p4;3356;81239.80000000028;50205.76
p5;3381;388292.79999999923;250836.39
p6;3162;579408.2799999983;363155.7
p7;3529;950061.6199999973;466604.38
p8;3529;1689831.140000004;558887.73
p9;3406;303299.69999999995;159298.62
p30;3580;714818.6000000023;422619.0
p32;3233;123877.73000000027;74682.3
p31;3172;707186.8300000008;270222.68
p34;3506;1559653.4000000008;529125.52
p33;3233;132188.02000000107;45811.61
p36;3368;835867.2999999999;366606.8
p35;3483;1638906.3400000036;433215.54
p38;3623;1086757.63;523161.2
p37;3222;584581.9199999967;207593.46
p39;3440;563655.4399999981;198625.6
p41;3407;96091.82999999991;26302.04
p40;3634;41988.88000000017;11011.02
p43;3707;748781.8499999947;296782.42
p42;3358;762982.3500000009;299701.5
p45;3373;689913.4199999983;449924.47
p44;3648;577989.120000003;313873.92
p47;3656;1133851.5200000019;274565.6
p46;3477;406118.2499999995;226978.56
p49;3160;412801.34000000154;271159.6
p48;3475;1203906.0299999968;789763.25
