Store;store3;1.539314318999931E7
Product;Quantity;Price;Profit
p10;2750;625962.9299999962;407055.0
p12;2778;307725.2199999997;183959.16
p11;2465;808843.8100000047;531207.5
p14;2705;649218.1000000038;338882.4
p13;2622;308880.9099999992;133486.02
p16;2785;953834.6499999979;563043.45
p15;2706;1102311.36;597890.7
p18;2508;1195665.5299999923;664369.2
p17;2929;553832.7700000012;132273.64
p19;3128;686703.0600000013;370449.04
p21;2924;1338502.6000000061;797550.24
p20;2793;641547.1400000015;358872.57
p23;3124;847343.3799999994;525175.64
p22;2675;879689.7699999991;440786.5
p25;2600;436960.62999999867;166270.0
p24;2633;871565.2300000021;381232.07
p27;2518;472614.5599999998;313566.54
p26;2698;200114.31000000026;130259.44
p29;2765;658542.5000000008;355800.2
p28;2731;416529.0799999999;203787.22
p0;2695;881302.0299999993;339084.9
p1;2798;488965.92000000196;205708.96
p2;2704;1120366.3500000008;547532.96
p3;2443;657962.3400000004;400969.59
p4;2689;65093.530000000275;40227.44
p5;2669;306522.68000000034;198013.11
p6;2855;523153.3599999988;327896.75
p7;3001;807915.9099999982;396792.22
p8;2797;1339319.1800000004;442960.89
p9;2576;229389.31000000008;120479.52
p30;2774;553884.580000001;327470.7
p32;2828;108359.52000000015;65326.8
p31;2767;616893.4100000012;235720.73
p34;2570;1143271.2899999993;387864.4
p33;2617;107001.51000000074;37082.89
p36;2863;710536.7599999993;311637.55
p35;2784;1309995.6500000034;346273.92
p38;2816;844689.1900000002;406630.4
p37;2896;525434.0699999956;186589.28
p39;2856;467965.15999999834;164905.44
p41;2928;82581.94999999994;22604.16
p40;2925;33796.730000000134;8862.75
p43;2779;561333.9399999978;222486.74
p42;2589;588255.3200000016;231068.25
p45;2525;516463.4999999995;336809.75
p44;2707;428897.080000003;232910.28
p47;2796;867135.8900000018;209979.6
p46;2825;329963.8699999993;184416.0
p49;2938;383800.86000000127;252109.78
p48;2670;925015.5599999987;606810.9
