Store;store3;2.063600381999963E7
Product;Quantity;Price;Profit
p10;3581;815117.4099999947;530059.62
p12;3809;421931.4900000005;252231.98
p11;3968;1302025.2200000044;855104.0
p14;3436;824662.9100000086;430462.08
p13;3747;441409.8999999989;190759.77
p16;3568;1222004.3199999912;721342.56
p15;3343;1361798.5200000012;738635.85
p18;3797;1810184.3299999828;1005825.3
p17;3695;698672.7200000007;166866.2
p19;3420;750807.1200000023;405030.6
p21;3738;1711122.670000012;1019576.88
p20;3599;826683.870000001;462435.51
p23;3769;1022291.0000000006;633606.59
p22;3668;1206243.9299999988;604413.04
p25;3555;597459.6299999992;227342.25
p24;3650;1208208.3000000052;528483.5
p27;3893;730694.5600000004;484795.29
p26;3800;281851.0600000006;183464.0
p29;3662;872181.8400000021;471226.16
p28;3615;551355.8900000012;269751.3
p0;3719;1216164.0500000063;467924.58
p1;3593;627896.7700000053;264157.36
p2;3858;1598510.6900000055;781206.42
p3;3749;1009701.5600000012;615323.37
p4;3998;96780.85000000038;59810.08
p5;3642;418267.6699999986;270199.98
p6;3384;620087.8899999976;388652.4
p7;3643;980752.3099999957;481677.46
p8;3872;1854073.710000005;613208.64
p9;3652;325205.7900000003;170804.04
p30;3662;731191.540000001;432299.1
p32;3614;138476.53000000058;83483.4
p31;3601;802831.0800000008;306769.19
p34;3574;1589903.4100000015;539388.08
p33;3740;152917.69000000117;52995.8
p36;3886;964424.0600000008;422991.1
p35;3774;1775834.7500000033;469410.12
p38;3764;1129051.9499999967;543521.6
p37;3612;655341.2799999983;232721.16
p39;3776;618710.1199999987;218026.24
p41;3784;106724.76000000001;29212.48
p40;3666;42358.62000000023;11107.98
p43;3915;790796.1599999949;313434.9
p42;3525;800926.8999999999;314606.25
p45;3461;707912.9399999989;461662.79
p44;3663;580365.7200000026;315164.52
p47;3841;1191226.4500000025;288459.1
p46;3551;414761.4099999986;231809.28
p49;3801;496537.33000000275;326163.81
p48;3293;1140852.5799999977;748400.11
