Store;store4;1.891674082999933E7
Product;Quantity;Price;Profit
p10;3489;794176.1799999947;516441.78
p12;3326;368428.49999999924;220247.72
p11;3311;1086442.930000008;713520.5
p14;3245;778821.4600000073;406533.6
p13;3264;384510.7999999993;166170.24
p16;3425;1173028.2499999935;692432.25
p15;3227;1314545.1600000001;713005.65
p18;3442;1640941.2899999842;911785.8
p17;3262;616798.5400000009;147311.92
p19;3338;732805.200000002;395319.34
p21;3327;1522981.6600000083;907472.52
p20;3337;766502.950000001;428771.13
p23;3482;944446.0500000003;585359.02
p22;3214;1056943.1399999976;529602.92
p25;3141;527881.9599999982;200866.95
p24;3414;1130088.5500000045;494313.06
p27;3418;641539.7;425643.54
p26;3396;251885.98000000007;163958.88
p29;3261;776675.3300000011;419625.48
p28;3321;506515.1600000011;247813.02
p0;3399;1111519.7800000014;427662.18
p1;3517;614615.2400000043;258569.84
p2;3565;1477110.2900000047;721876.85
p3;3769;1015088.1200000017;618605.97
p4;3301;79908.32000000025;49382.96
p5;3231;371066.14999999944;239707.89
p6;3428;628150.5199999985;393705.8
p7;3430;923409.4699999968;453514.6
p8;3224;1543784.4800000018;510584.88
p9;3320;295641.5399999998;155276.4
p30;3316;662105.7200000016;391453.8
p32;3360;128744.0000000004;77616.0
p31;3404;758910.2400000008;289986.76
p34;3227;1435539.560000001;487018.84
p33;3412;139506.80000000112;48348.04
p36;3575;887240.2699999987;389138.75
p35;3216;1513270.9200000048;400006.08
p38;3503;1050762.2799999996;505833.2
p37;3306;599822.329999997;213005.58
p39;3239;530720.9799999987;187019.86
p41;3212;90591.98999999993;24796.64
p40;3286;37968.09000000016;9956.58
p43;3264;659299.6499999969;261315.84
p42;3200;727082.6500000015;285600.0
p45;3614;739207.5599999964;482071.46
p44;3077;487519.88000000385;264745.08
p47;3486;1081128.690000002;261798.6
p46;3235;377852.3799999995;211180.8
p49;3280;428477.2400000011;281456.8
p48;3209;1111750.9799999972;729309.43
