Store;store6;1.789702141999935E7
Product;Quantity;Price;Profit
p10;3218;732490.4499999953;476328.36
p12;3225;357240.4699999999;213559.5
p11;3322;1090052.3800000085;715891.0
p14;3181;763461.1700000071;398515.68
p13;3117;367193.6999999987;158686.47
p16;2953;1011372.9699999976;597008.01
p15;2897;1180116.9;640092.15
p18;3000;1430221.9899999888;794700.0
p17;3324;628521.8800000014;150111.84
p19;3023;663651.9600000016;358013.89
p21;3348;1532594.6000000087;913200.48
p20;3265;749964.7100000011;419519.85
p23;2805;760818.8400000004;471548.55
p22;3453;1135539.7099999972;568985.34
p25;3162;531411.4299999987;202209.9
p24;3141;1039721.1700000041;454785.39
p27;3239;607942.2900000004;403352.67
p26;3246;240760.19000000006;156716.88
p29;3278;780724.1400000007;421813.04
p28;3349;510785.74000000075;249902.38
p0;3240;1059524.7000000007;407656.8
p1;3053;533528.6900000023;224456.56
p2;3222;1334992.6800000009;652422.78
p3;3154;849452.8800000008;517666.02
p4;3492;84532.11000000035;52240.32
p5;2987;343043.6700000003;221605.53
p6;3131;573727.989999999;359595.35
p7;3038;817876.8199999962;401684.36
p8;3124;1495900.4099999997;494747.88
p9;3462;308286.62000000017;161917.74
p30;3350;668894.5000000005;395467.5
p32;3049;116827.47000000028;70431.9
p31;3494;778975.6299999998;297653.86
p34;3233;1438208.6000000022;487924.36
p33;3220;131656.410000001;45627.4
p36;3198;793676.8700000001;348102.3
p35;3358;1580088.2000000037;417668.04
p38;3160;947875.6700000006;456304.0
p37;2985;541581.8799999965;192323.55
p39;3300;540716.0099999985;190542.0
p41;3356;94653.54;25908.32
p40;3242;37459.530000000195;9823.26
p43;2813;568201.6399999971;225208.78
p42;3151;715949.2000000007;281226.75
p45;3219;658414.259999999;429382.41
p44;3375;534735.000000004;290385.0
p47;3202;993050.4900000024;240470.2
p46;3215;375516.3899999993;209875.2
p49;3156;412278.72000000183;270816.36
p48;3313;1147781.4499999979;752945.51
