Store;store8;1.6078179579999356E7
Product;Quantity;Price;Profit
p10;3051;694477.4699999957;451609.02
p12;2684;297312.57000000024;177734.48
p11;2947;967002.990000008;635078.5
p14;2954;708979.8300000058;370077.12
p13;2672;314771.10999999946;136031.52
p16;2964;1015140.359999997;599231.88
p15;2774;1130011.5699999998;612915.3
p18;2763;1317234.5199999912;731918.7
p17;2925;553076.5100000018;132093.0
p19;2963;650479.930000002;350908.09
p21;2920;1336671.420000005;796459.2
p20;2665;612145.7500000017;342425.85
p23;2715;736407.5799999997;456418.65
p22;2810;924085.4499999975;463031.8
p25;2806;471581.29999999853;179443.7
p24;2770;916914.3900000022;401068.3
p27;2899;544126.2099999996;361012.47
p26;2875;213242.68999999983;138805.0
p29;2770;659733.3800000009;356443.6
p28;2849;434526.3900000006;212592.38
p0;3021;987908.53;380102.22
p1;2947;515004.6500000015;216663.44
p2;2647;1096749.23;535991.03
p3;2839;764615.2800000013;465965.07
p4;2838;68700.5100000003;42456.48
p5;2884;331214.62000000017;213963.96
p6;2662;487787.82999999926;305730.7
p7;2852;767802.6899999975;377091.44
p8;2990;1431735.5900000033;473526.3
p9;2814;250582.96;131610.78
p30;2698;538709.6600000005;318498.9
p32;2981;114221.9300000002;68861.1
p31;2899;646322.4700000014;246965.81
p34;2783;1238025.1300000006;420010.36
p33;2857;116814.50000000087;40483.69
p36;2923;725427.5299999997;318168.55
p35;3063;1441277.5500000021;380975.94
p38;2871;861186.9400000001;414572.4
p37;3112;564624.0599999964;200506.16
p39;2621;429459.5999999986;151336.54
p41;2894;81623.00999999995;22341.68
p40;2762;31913.40000000011;8368.86
p43;2712;547800.459999997;217122.72
p42;2817;640059.8500000014;251417.25
p45;2893;591734.219999999;385897.27
p44;2739;433967.160000003;235663.56
p47;2844;882022.3700000029;213584.4
p46;2942;343629.5399999992;192053.76
p49;3030;395819.1300000014;260004.3
p48;3005;1041075.6499999984;682946.35
