Store;store2;1.8536421819999363E7
Product;Quantity;Price;Profit
p10;3052;694705.0299999955;451757.04
p12;3354;371530.04999999946;222101.88
p11;3061;1004409.9400000087;659645.5
p14;3625;870024.2400000095;454140.0
p13;3508;413254.97999999893;178592.28
p16;3451;1181932.9899999928;697688.67
p15;3352;1365464.7800000003;740624.4
p18;3250;1549407.2199999876;860925.0
p17;3377;638543.280000002;152505.32
p19;3178;697679.7900000011;376370.54
p21;3388;1550905.2200000084;924110.88
p20;3181;730670.0900000003;408726.69
p23;3603;977265.6699999993;605700.33
p22;3166;1041157.9999999973;521693.48
p25;3275;550402.3199999988;209436.25
p24;3364;1113537.7700000054;487073.56
p27;3457;648859.8000000003;430500.21
p26;3185;236235.63000000053;153771.8
p29;3106;739758.9000000027;399680.08
p28;3321;506515.13000000094;247813.02
p0;3255;1064429.8500000006;409544.1
p1;3149;550305.2500000027;231514.48
p2;3139;1300602.8000000024;635616.11
p3;3388;912475.0200000018;556072.44
p4;3450;83515.11000000038;51612.0
p5;3364;386340.40999999945;249575.16
p6;2994;548623.8999999996;343860.9
p7;3080;829183.9999999972;407237.6
p8;3479;1665889.0100000035;550969.23
p9;3511;312649.72000000015;164209.47
p30;3176;634151.9200000009;374926.8
p32;3574;136943.6900000006;82559.4
p31;3384;754451.440000001;288282.96
p34;3478;1547197.580000001;524899.76
p33;3327;136031.3200000009;47143.59
p36;3313;822217.4499999996;360620.05
p35;3511;1652081.5800000026;436698.18
p38;3453;1035764.1600000004;498613.2
p37;3288;596556.4699999971;211845.84
p39;3253;533014.8799999979;187828.22
p41;3360;94766.21000000006;25939.2
p40;3436;39701.10000000013;10411.08
p43;3031;612235.7299999972;242661.86
p42;3189;724583.3000000006;284618.25
p45;3261;667004.9399999989;434984.79
p44;3319;525862.3600000042;285566.76
p47;3121;967929.5500000017;234387.1
p46;3259;380655.4899999993;212747.52
p49;3300;431090.09000000183;283173.0
p48;3192;1105861.2999999984;725445.84
