Store;store2;2.178797952999957E7
Product;Quantity;Price;Profit
p10;3990;908215.4299999936;590599.8
p12;3611;399998.54999999993;239120.42
p11;3665;1202601.2200000049;789807.5
p14;3806;913465.420000011;476815.68
p13;4132;486764.4099999987;210360.12
p16;4086;1399414.139999988;826066.62
p15;4022;1638394.7699999998;888660.9
p18;3649;1739626.7199999825;966620.1
p17;3955;747835.0300000008;178607.8
p19;3872;850036.5400000022;458560.96
p21;3930;1799013.3000000108;1071946.8
p20;3895;894674.5199999998;500468.55
p23;4156;1127259.719999996;698665.16
p22;3717;1222357.759999998;612487.26
p25;3917;658297.9400000001;250492.15
p24;4015;1329029.2600000082;581331.85
p27;3824;717743.5400000002;476202.72
p26;3842;284966.27000000014;185491.76
p29;4106;977929.700000003;528360.08
p28;3868;589943.0800000018;288630.16
p0;3710;1213221.0600000063;466792.2
p1;3532;617236.7000000047;259672.64
p2;3634;1505699.4500000041;735848.66
p3;3940;1061142.7900000017;646672.2
p4;3744;90632.24000000022;56010.24
p5;3590;412295.49999999936;266342.1
p6;3914;717205.6499999956;449522.9
p7;3812;1026249.6199999964;504022.64
p8;3973;1902436.6100000048;629204.01
p9;4194;373470.10000000056;196153.38
p30;3848;768330.1600000006;454256.4
p32;4169;159742.00000000047;96303.9
p31;3774;841400.8800000006;321507.06
p34;4011;1784304.0300000017;605340.12
p33;3761;153776.44000000114;53293.37
p36;3751;930919.75;408296.35
p35;4132;1944289.6700000032;513938.16
p38;3991;1197142.9099999978;576300.4
p37;3789;687455.1999999986;244125.27
p39;3923;642796.549999998;226514.02
p41;3805;107316.91000000002;29374.6
p40;4053;46830.15000000021;12280.59
p43;4057;819478.989999994;324803.42
p42;3990;906581.2800000013;356107.5
p45;3670;750661.7999999983;489541.3
p44;3940;624253.6000000016;338997.6
p47;3707;1149668.4200000016;278395.7
p46;3827;446998.6899999995;249826.56
p49;3686;481514.4100000019;316295.66
p48;3797;1315462.2299999967;862944.19
