Store;store10;1.8677343469999358E7
Product;Quantity;Price;Profit
p10;3490;794404.0099999948;516589.8
p12;3311;366766.85999999975;219254.42
p11;3525;1156662.8900000064;759637.5
p14;3007;721700.0800000061;376716.96
p13;3470;408778.4899999988;176657.7
p16;3144;1076788.5599999956;635622.48
p15;3229;1315359.7000000007;713447.55
p18;3454;1646662.289999985;914964.6
p17;3307;625307.4600000017;149344.12
p19;3594;789005.9400000029;425637.42
p21;3531;1616365.5600000096;963115.56
p20;3188;732277.9300000011;409626.12
p23;3470;941191.2600000002;583341.7
p22;3347;1100680.9099999983;551518.66
p25;3367;565864.0299999992;215319.65
p24;3139;1039059.2200000039;454495.81
p27;3413;640601.1300000001;425020.89
p26;3491;258932.13000000056;168545.48
p29;3209;764290.3000000006;412934.12
p28;3361;512616.0000000007;250797.82
p0;3189;1042846.8399999999;401239.98
p1;3377;590149.4800000038;248277.04
p2;3072;1272842.200000002;622049.28
p3;3399;915437.6500000017;557877.87
p4;3499;84701.52000000027;52345.04
p5;3087;354528.33;229024.53
p6;3319;608177.2399999979;381187.15
p7;3328;895949.3599999967;440028.16
p8;3184;1524630.680000002;504250.08
p9;3345;297867.80000000045;156445.65
p30;3272;653320.2400000002;386259.6
p32;3414;130813.08000000042;78863.4
p31;3196;712537.4500000012;272267.24
p34;3313;1473796.7499999986;499997.96
p33;3039;124256.00000000079;43062.63
p36;3400;843809.0599999997;370090.0
p35;3337;1570207.0100000023;415056.06
p38;3437;1030964.7600000008;496302.8
p37;3495;634113.4299999977;225182.85
p39;3376;553168.9099999988;194930.24
p41;3285;92650.68999999999;25360.2
p40;3261;37679.180000000175;9880.83
p43;3283;663137.5699999961;262836.98
p42;3292;747986.2600000002;293811.0
p45;3277;670277.5799999984;437119.03
p44;3351;530932.440000004;288320.04
p47;3197;991499.7500000015;240094.7
p46;3357;392102.0299999991;219144.96
p49;3351;437752.2900000019;287549.31
p48;3150;1091310.5299999972;715900.5
