Store;store5;1.6541368169999365E7
Product;Quantity;Price;Profit
p10;3157;718605.5399999953;467299.14
p12;2926;324119.3199999999;193759.72
p11;2974;975862.5700000077;640897.0
p14;2908;697939.3600000056;364314.24
p13;2815;331616.9399999989;143311.65
p16;3002;1028154.9799999961;606914.34
p15;3255;1325950.9399999988;719192.25
p18;2931;1397326.9099999894;776421.9
p17;2871;542865.9500000016;129654.36
p19;2808;616452.090000001;332551.44
p21;3035;1389314.5200000068;827826.6
p20;3116;715739.6200000002;400374.84
p23;2954;801233.1200000001;496596.94
p22;3001;986896.8799999972;494504.78
p25;2960;497462.7599999984;189292.0
p24;2982;987089.730000003;431763.78
p27;2989;561018.64;372220.17
p26;2878;213465.14000000004;138949.84
p29;2986;711178.1500000004;384238.48
p28;2811;428730.5799999998;209756.82
p0;2846;930681.2400000001;358083.72
p1;3176;555023.6200000024;233499.52
p2;2902;1202405.0200000012;587625.98
p3;2753;741453.1900000013;451849.89
p4;2974;71992.74000000033;44491.04
p5;3113;357514.23999999993;230953.47
p6;2818;516373.39999999886;323647.3
p7;2665;717459.419999998;352366.3
p8;2793;1337403.900000003;442327.41
p9;2971;264563.56000000006;138953.67
p30;2643;527727.8100000006;312006.15
p32;2903;111233.2800000003;67059.3
p31;3224;718780.0800000004;274652.56
p34;2855;1270054.4300000016;430876.6
p33;2680;109577.51000000077;37975.6
p36;2909;721953.0299999982;316644.65
p35;2979;1401751.9300000032;370528.02
p38;2897;868986.1400000001;418326.8
p37;2729;495134.539999996;175829.47
p39;2951;483531.1199999982;170390.74
p41;2801;79000.01999999981;21623.72
p40;2724;31474.350000000126;8253.72
p43;2875;580725.0399999972;230172.5
p42;3075;698680.9500000011;274443.75
p45;2856;584166.2399999994;380961.84
p44;2780;440463.20000000315;239191.2
p47;3165;981575.4600000015;237691.5
p46;3024;353207.24999999965;197406.72
p49;2795;365120.1600000008;239838.95
p48;2877;996730.2399999979;653855.79
