Store;store9;1.643368103999936E7
Product;Quantity;Price;Profit
p10;2953;672170.2999999957;437103.06
p12;3058;338741.43999999965;202500.76
p11;2636;864954.1300000062;568058.0
p14;2995;718819.840000006;375213.6
p13;3124;368018.29999999923;159042.84
p16;2931;1003838.1899999968;592560.27
p15;2886;1175635.7399999993;637661.7
p18;2837;1352513.2099999909;751521.3
p17;2765;522822.77000000176;124867.4
p19;2892;634892.9400000018;342499.56
p21;3041;1392061.0500000077;829463.16
p20;2924;671637.5400000017;375704.76
p23;2986;809912.6600000004;501976.46
p22;2967;975715.7499999972;488902.26
p25;2895;486538.87999999843;185135.25
p24;2827;935782.1800000031;409321.33
p27;2964;556326.34;369106.92
p26;2873;213094.13000000015;138708.44
p29;2739;652350.2100000008;352454.52
p28;2922;445660.17000000074;218039.64
p0;2989;977444.2499999999;376075.98
p1;2824;493509.7400000019;207620.48
p2;2827;1171329.7800000017;572439.23
p3;3036;817672.390000002;498298.68
p4;3132;75817.45000000023;46854.72
p5;2639;303077.3800000007;195787.41
p6;2998;549356.9599999988;344320.3
p7;2845;765918.3099999978;376165.9
p8;2898;1387682.110000002;458956.26
p9;3055;272043.62000000017;142882.35
p30;2857;570457.1900000011;337268.85
p32;2675;102497.10000000025;61792.5
p31;2861;637850.3600000014;243728.59
p34;2871;1277172.0999999999;433291.32
p33;2964;121189.54000000094;41999.88
p36;2811;697631.5399999989;305977.35
p35;2977;1400810.8300000033;370279.26
p38;3090;926878.4099999998;446196.0
p37;2744;497856.10999999585;176795.92
p39;3099;507781.39999999775;178936.26
p41;2743;77364.05999999994;21175.96
p40;3219;37193.71000000016;9753.57
p43;3202;646776.219999996;256352.12
p42;3249;738216.1000000008;289973.25
p45;2873;587643.4199999989;383229.47
p44;3235;512553.4000000042;278339.4
p47;2612;810070.9800000018;196161.2
p46;2906;339424.6499999993;189703.68
p49;2970;387981.05000000156;254855.7
p48;2986;1034492.999999999;678628.22
